	faith_pd
10317.000089987.51570	11.82501
10317.000043144.25853	8.24304
10317.000020084.2988	10.842959999999998
10317.000068298.25862	14.818940000000001
10317.000002519.3020	19.735889999999998
10317.000033543.42299	9.596079999999999
10317.000029473.3022	14.4722
10317.000068854.26480	16.793229999999998
10317.000067005.45578	13.90307
10317.000072329.42298	8.63497
10317.000037504.4016	9.873040000000001
10317.000049840.4491	9.41108
10317.000001593.2948	4.67979
10317.000015901.2926	11.371799999999997
10317.000036882.3098	12.42214
10317.000001887.2946	17.15385
10317.000043141.25862	17.4053
10317.000015548.2988	14.502510000000001
10317.000074319.41931	20.791359999999997
10317.000068129.26479	15.50611
10317.000015151.2919	12.060000000000002
10317.000068420.41931	12.59762
10317.000047145.4491	7.1236999999999995
10317.000038379.3098	15.015619999999998
10317.000065694.25862	16.111819999999998
10317.000090114.52698	9.14865
10317.000037611.3516	13.715659999999998
10317.000050951.46739	13.90492
10317.000051193.7852	9.976429999999999
10317.000023619.3020	7.05626
10317.000068114.26479	14.821979999999998
10317.000027799.2982	9.02778
10317.000036179.3098	11.3652
10317.000090006.51570	8.167819999999999
10317.000072591.53379	21.166460000000004
10317.000007512.26483	12.8758
10317.000007510.26483	19.97208
10317.000071887.48742	9.37412
10317.000096842.62401	3.963939999999999
10317.000023001.25501	16.3386
10317.000035358.2982	6.585109999999999
10317.000002511.2907	13.73687
10317.000028079.3022	14.75681
10317.000084388.45578	21.458930000000002
10317.000036880.4016	14.306510000000001
10317.000068398.26479	7.12712
10317.000079810.42298	16.322190000000003
10317.000072290.50470	9.462150000000001
10317.000002637.2948	10.703510000000001
10317.000089979.51570	11.85106
10317.000005749.3018	6.585049999999999
10317.000101270.56187	12.97121
10317.000089733.51570	19.707
10317.000073829.33800	13.26488
10317.000001820.2923	15.619399999999997
10317.000029323.2982	15.91141
10317.000049127.30606	11.135579999999997
10317.000039521.25370	16.70821
10317.000015777.26485	14.562860000000004
10317.000053374.25501	7.36363
10317.000047586.26478	12.1665
10317.000049996.4491	17.728749999999998
10317.000037507.3099	12.2435
10317.000017208.2923	13.06063
10317.000030222.3022	14.07026
10317.000006620.2905	9.40689
10317.000015403.2919	20.280249999999995
10317.000003609.3018	13.11312
10317.000046919.4033	13.05269
10317.000009175.2909	13.704860000000002
10317.000022120.2988	13.93218
10317.000009241.2909	9.52166
10317.000038133.4016	20.20951
10317.000027858.3022	13.943319999999998
10317.000028704.3098	11.80114
10317.000017621.2988	19.96315
10317.000101096.56187	13.23968
10317.000098754.56079	14.02347
10317.000021819.2988	13.7112
10317.000047942.53347	17.91293
10317.000039562.25370	14.994390000000003
10317.000036165.3099	16.231260000000002
10317.000003639.2960	6.131680000000001
10317.000076740.53379	17.2792
10317.000046665.4033	16.489869999999996
10317.000044530.25501	8.84839
10317.000044556.26481	15.68124
10317.000067555.26479	11.13688
10317.000035470.25501	18.341929999999998
10317.000083083.48742	15.84081
10317.000091096.52698	13.642489999999999
10317.000040321.4016	12.86719
10317.000009020.2911	12.968599999999999
10317.000050497.46739	11.85336
10317.000086628.51570	17.929740000000002
10317.000087033.45578	16.084199999999996
10317.000015394.2919	7.614939999999999
10317.000063289.26480	30.456149999999997
10317.000033458.4016	15.250439999999998
10317.000028517.2982	15.348049999999999
10317.000010351.26483	7.9022499999999996
10317.000076345.53379	7.91958
10317.000022398.4021	10.568790000000002
10317.000047788.31503	12.44263
10317.000010565.2919	11.079180000000001
10317.000027922.48742	11.71685
10317.000070837.50470	22.3264
10317.000004086.2909	19.345399999999998
10317.000014379.2917	17.30549
10317.000071423.30606	13.08643
10317.000069234.25862	20.364050000000002
10317.000023984.3018	17.0724
10317.000054021.31503	12.386680000000002
10317.000001930.2932	14.339440000000002
10317.000050183.7852	19.29302
10317.000071943.30606	12.18768
10317.000069409.31503	9.852089999999999
10317.000074635.42299	12.60506
10317.000072081.53379	20.953319999999998
10317.000020496.3020	8.557540000000001
10317.000068950.41931	19.49089
10317.000042693.4016	8.808060000000001
10317.000006004.2909	9.1877
10317.000072014.50470	6.184159999999999
10317.000002626.2960	6.106730000000001
10317.000046514.4033	15.237439999999998
10317.000073870.33800	11.09911
10317.000058746.26478	11.3241
10317.000013202.3516	11.858849999999999
10317.000038105.32981	18.495079999999998
10317.000069057.26480	17.4116
10317.000058849.25862	19.18189
10317.000047229.7852	13.222010000000003
10317.000070779.31503	19.355339999999998
10317.000062301.45578	7.554979999999999
10317.000065770.25853	7.45962
10317.000017390.25370	7.95232
10317.000047898.53347	24.757249999999996
10317.000038418.3516	8.7099
10317.000086671.51570	18.722109999999997
10317.000010873.2932	12.94092
10317.000013400.2988	15.71388
10317.000023586.30606	5.87831
10317.000047815.30606	17.18759
10317.000069245.30606	13.28294
10317.000054163.25853	16.11202
10317.000005738.2907	12.991219999999998
10317.000020671.2988	17.4202
10317.000068835.26480	16.80762
10317.000036384.26481	15.10247
10317.000022001.2988	13.02472
10317.000028930.3020	15.98488
10317.000067635.26479	12.97016
10317.000069117.26480	29.483700000000002
10317.000029630.2982	15.47675
10317.000052280.7852	12.30469
10317.000022906.3020	6.34068
10317.000058358.25370	14.41224
10317.000028663.3020	17.25168
10317.000030115.50470	6.559159999999999
10317.000015163.2919	14.611879999999996
10317.000028933.3099	14.9599
10317.000040414.4583	20.388969999999997
10317.000034158.30606	6.027829999999999
10317.000076743.54638	12.41931
10317.000026103.3020	10.0032
10317.000011103.2932	16.883879999999998
10317.000015828.2923	17.30792
10317.000038308.25501	14.41963
10317.000089496.48742	21.061290000000003
10317.000049950.25370	11.15913
10317.000012460.32954	34.11059
10317.000063318.31503	15.699430000000001
10317.000089506.48742	6.616739999999999
10317.000030276.25862	16.082379999999997
10317.000002198.2932	12.56857
10317.000028742.4016	16.476409999999998
10317.000042809.25501	14.80759
10317.000038327.4583	22.763669999999998
10317.000058886.53379	20.893829999999998
10317.000016217.2921	22.52743
10317.000058876.25862	16.38605
10317.000028227.3022	18.4478
10317.000010468.32954	8.21903
10317.000087260.56079	17.20137
10317.000065420.26478	13.124149999999997
10317.000050508.46739	20.91872
10317.000071407.30606	17.44969
10317.000041344.3080	9.882090000000002
10317.000046654.4033	10.77417
10317.000066909.26478	5.83513
10317.000031205.3099	12.82328
10317.000044360.26484	9.982190000000001
10317.000003601.2960	8.042009999999998
10317.000029369.3022	19.92881
10317.000045004.4016	15.408800000000001
10317.000073832.33800	8.421679999999999
10317.000076316.48742	25.28632
10317.000010351.26485	7.705400000000002
